framework,mnames,type,eps,loss,acc,times
tensorflow,convnext_small,training,7,0.6787600517272949,0.5705000162124634,192004.3414
tensorflow,convnext_small,training,8,0.5690785646438599,0.5601000189781189,190318.039891
tensorflow,convnext_small,training,9,0.4623762369155884,0.5641000270843506,190697.842277
tensorflow,convnext_small,training,10,0.3626725673675537,0.5583999752998352,187843.51729
tensorflow,convnext_small,training,11,0.2671831548213959,0.5616999864578247,191309.05674
tensorflow,convnext_small,training,12,0.1819611489772796,0.5667999982833862,189009.346779
tensorflow,convnext_small,training,13,0.1170902550220489,0.5740000009536743,188573.231557
tensorflow,convnext_small,training,14,0.0662694945931434,0.5728999972343445,188255.460078
tensorflow,convnext_small,training,15,0.0348525866866111,0.5759000182151794,188046.689492
tensorflow,convnext_small,inference,1,1.7143136262893677,0.5759000182151794,12363.358071
